specie,Record Number,Process,QDB Process,Theory or Experiment,data type,Projectile Element,Projectile Charge State,Target Molecule,Target Charge State,Initial Excited State B,Products,Original X Unit,Original Y Unit,Reference Number,Author(s),Title of Record,Journal Name,Volume and Issue No,Page Numbers,Date of Publication,Process Title
Ar,10427, rearrangement,, E, CS, Ar,1, N2,0,, N;ArN+, eV, cm2, 1990C397, Flesch### G.D.$Ng### C.Y., Observation of the formation of N+ and ArN+ in the collisions of Ar+(2P3/2.1/2) with N2, J. Chem. Phys.,92, 2876-2882,1990, Ar+ (2P3/2) + N2 --> N+ArN+
Ar,10428, dissociation;dissociative ionization,HDI, E, CS, Ar,1, O2,0,, O+;O;Ar, eV, cm2, 1990C396, Flesch### G.D.$Nourbakhsh### S.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the reaction Ar+(2P3/2###1/2)+O2, J. Chem. Phys.,92, 3590-3604,1990, Ar+ (2P3/2) + O2 --> O++O+Ar
Ar,10429, dissociation;dissociative ionization,HDI, E, CS, Ar,1, O2,0,, O+;O;Ar, eV, cm2, 1990C396, Flesch### G.D.$Nourbakhsh### S.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the reaction Ar+(2P3/2###1/2)+O2, J. Chem. Phys.,92, 3590-3604,1990, Ar+ (2P1/2) + O2 --> O++O+Ar
Ar,10430, rearrangement,, E, CS, Ar,1, O2,0,, ArO+;O, eV, cm2, 1990C396, Flesch### G.D.$Nourbakhsh### S.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the reaction Ar+(2P3/2###1/2)+O2, J. Chem. Phys.,92, 3590-3604,1990, Ar+ (2P3/2) + O2 --> ArO++O
Ar,10431, rearrangement,, E, CS, Ar,1, O2,0,, ArO+;O, eV, cm2, 1990C396, Flesch### G.D.$Nourbakhsh### S.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the reaction Ar+(2P3/2###1/2)+O2, J. Chem. Phys.,92, 3590-3604,1990, Ar+ (2P1/2) + O2 --> ArO++O
Ar,10433, dissociation;charge transfer,HDC, E, CS, Ar,1, N2,0,, N+;N;Ar, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + N2 --> N++N+Ar
Ar,10435, dissociation;charge transfer,HDC, E, CS, Ar,1, CO,0,, C+;O;Ar, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO --> C++O+Ar
Ar,10436, dissociation;charge transfer,HDC, E, CS, Ar,1, CO,0,, O+;O;Ar, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO --> O++O+Ar
Ar,10437, dissociative ionization;dissociation,HDI, E, CS, Ar,1, CO2,0,, CO+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> CO+
Ar,10438, dissociative ionization;dissociation,HDI, E, CS, Ar,1, CO2,0,, O2+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> O2+
Ar,10439, dissociative ionization;dissociation,HDI, E, CS, Ar,1, CO2,0,, O+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> O+
Ar,10440, ionization;dissociation,HDI, E, CS, Ar,1, CO2,0,, C+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> C+
Ar,10441, rearrangement;dissociation,, E, CS, Ar,1, CO2,0,, ArCO+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> ArCO+
Ar,10442, rearrangement;dissociation,, E, CS, Ar,1, CO2,0,, ArO+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> ArO+
Ar,10443, rearrangement;dissociation,, E, CS, Ar,1, CO2,0,, ArC+, eV, cm2, 1992C398, Flesch### G.D.$Ng### C.Y., Absolute state-selected and state-to-state total cross sections for the Ar+(2P3/2.1/2)+CO2 reactions, J. Chem. Phys.,97, 162-172,1992, Ar+ (2P3/2) + CO2 --> ArC+
Ar,11678, charge exchange,, E, CS, Ar,2, CH4,0,,, eV, cm2,2.00E+304, Kusakabe### T.$Miyamoto### Y.$Ishida### R.$Itoh### K.Kuroyanagi### N.$Nakai### Y.$Shirai### T., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Nucl. Instrum. Methods Phys. Res. B,205,600,2003, Ar2+ + CH4 --> (total charge transfer)
